epoch,accuracy,loss,val_accuracy,val_loss
0,0.4465399980545044,1.5109316110610962,0.5407999753952026,1.2878074645996094
1,0.5914400219917297,1.1506856679916382,0.6000000238418579,1.1270568370819092
2,0.6517199873924255,0.9886782169342041,0.6539999842643738,1.0088064670562744
3,0.6883999705314636,0.8916946649551392,0.6517000198364258,0.9864678978919983
4,0.7124999761581421,0.8223221302032471,0.7028999924659729,0.8719532489776611
5,0.7337200045585632,0.7600100636482239,0.6816999912261963,0.9474624991416931
6,0.7516400218009949,0.707074761390686,0.7062000036239624,0.8630045056343079
7,0.7639200091362,0.6672463417053223,0.6958000063896179,0.9037714004516602
8,0.7814800143241882,0.628566324710846,0.6980000138282776,0.8920360207557678
9,0.7896199822425842,0.5932563543319702,0.7087000012397766,0.881460428237915
10,0.8028799891471863,0.5593405961990356,0.699400007724762,0.9244643449783325
11,0.8150799870491028,0.5231385231018066,0.704800009727478,0.9311416745185852
12,0.8245800137519836,0.4935078024864197,0.6995000243186951,0.9684134721755981
13,0.8357200026512146,0.4639624357223511,0.7135999798774719,0.9495686292648315
14,0.8453999757766724,0.4322718679904938,0.7078999876976013,0.9879435300827026
15,0.8529800176620483,0.41007503867149353,0.7077999711036682,1.0282033681869507
16,0.862500011920929,0.38309526443481445,0.6850000023841858,1.1356537342071533
