epoch,accuracy,loss,val_accuracy,val_loss
0,0.4318999946117401,1.5282440185546875,0.5547000169754028,1.2327020168304443
1,0.5940799713134766,1.1371643543243408,0.6139000058174133,1.0893685817718506
2,0.6591200232505798,0.9648447632789612,0.6599000096321106,0.9789636731147766
3,0.70933997631073,0.8320420384407043,0.6847000122070312,0.9142856597900391
4,0.7431600093841553,0.7324908375740051,0.7038999795913696,0.8769402503967285
5,0.7686200141906738,0.6579022407531738,0.6951000094413757,0.936698317527771
6,0.7965999841690063,0.5773617625236511,0.7184000015258789,0.8708845973014832
7,0.8165000081062317,0.5158066153526306,0.7186999917030334,0.901753306388855
8,0.8370199799537659,0.46468204259872437,0.7196000218391418,0.9466757774353027
9,0.8540599942207336,0.4084811806678772,0.7074999809265137,0.9891685843467712
10,0.8725200295448303,0.35858258605003357,0.7059999704360962,1.0366877317428589
11,0.8870400190353394,0.3175719976425171,0.7103000283241272,1.0739365816116333
12,0.8955399990081787,0.2913004755973816,0.7063999772071838,1.1657216548919678
13,0.9066200256347656,0.2648967504501343,0.7095999717712402,1.1826647520065308
14,0.9185799956321716,0.23699720203876495,0.7117000222206116,1.2427542209625244
15,0.9233800172805786,0.22006510198116302,0.7041000127792358,1.3367938995361328
16,0.9298800230026245,0.20277871191501617,0.7075999975204468,1.3815470933914185
